Formation,TMD (m),TVD (m),ROP (m/hr),WOB (ton),FR (gpm),SPP (psi),RPM (rpm),TQ (lb.ft),MW IN (ppg),MW OUT (ppg),RETURN (%),BIT TIME (hr),DATE TIME
Seno,428,428.01,33.3,3,514.3,818,70,1915,10.4,10.401,44,0.01,19/06/2010 07.12.15
Seno,429,429.01,39.3,4,428.8,554,79,2383,10.4,10.403,40,0.05,19/06/2010 07.14.23
Seno,430,430,26.7,3,442.7,547,79,2499,10.4,10.405,40,0.09,19/06/2010 07.16.43
Seno,431,430.99,29.1,5,604.9,1259,82,1080,10.4,10.407,48,0.2,19/06/2010 09.04.13
Seno,432,432,40.8,10,782.1,1846,92,3106,10.4,10.409,58,0.23,19/06/2010 09.05.52
Seno,433,433,41.1,7,789.9,1874,91,3528,10.4,10.411,58,0.27,19/06/2010 09.08.41
Seno,434,434,51.9,9,822.4,2027,90,4450,10.4,10.409,60,0.3,19/06/2010 09.10.16
Seno,435,435.01,51.8,10,822.7,2036,90,4238,10.4,10.412,60,0.32,19/06/2010 09.11.32
Seno,436,436,56.2,10,822.8,2043,90,3579,10.4,10.408,60,0.34,19/06/2010 09.12.40
Seno,437,437,60.6,10,823.3,2057,90,3857,10.4,10.409,60,0.36,19/06/2010 09.13.42
Seno,438,438.01,61.7,10,822.5,2051,90,3002,10.4,10.416,60,0.37,19/06/2010 09.14.43
Seno,439,439,57.7,10,823.1,2053,90,3577,10.4,10.405,60,0.39,19/06/2010 09.15.49
Seno,440,440,66.2,9,822.3,2060,91,2079,10.4,10.405,60,0.41,19/06/2010 09.16.45
Seno,441,441.01,63.3,10,822.1,2056,90,3050,10.4,10.405,60,0.43,19/06/2010 09.18.22
Seno,442,442,54.1,8,822.5,2053,91,2110,10.4,10.405,60,0.46,19/06/2010 09.19.44
Seno,443,443,52.1,7,819,2043,82,784,10.4,10.406,60,0.49,19/06/2010 09.40.27
Seno,444,444.02,76.6,2,813.4,2024,97,3594,10.4,10.405,59,0.51,19/06/2010 09.41.27
Seno,445,445.02,86.9,6,812.9,2021,99,4415,10.4,10.404,59,0.52,19/06/2010 09.42.12
