FORMATION,BIT SIZE (in),TMD (m),TVD (m),ROP (m/hr),WOB (ton),FR (gpm),SPP (psi),RPM (rpm),TQ (lb*ft),MW IN (ppg),MW OUT (ppg),RETURN (%),BIT TIME (hr),DATE TIME
Mio,24,18,18.02,25.6,2,152.4,10,62,1363,8.7,8.7,0,0.04,28/07/2010 12.17.20
Mio,24,19,19,35.5,2,152.2,10,57,649,8.7,8.7,0,0.11,28/07/2010 12.21.35
Mio,24,20,19.5,20.6,2,114.3,8,43,0,8.7,8.7,0,0.17,28/07/2010 12.46.54
Mio,24,21,19.5,20.1,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,22,19.5,19.9,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,23,19.5,23.7,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,24,19.5,20.4,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,25,19.5,23.8,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,26,19.5,24.4,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,27,19.5,24.8,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,28,19.5,24.2,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,29,19.5,20,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,30,30.02,21.9,2,153.7,10,59,1,8.7,8.7,0,0.38,28/07/2010 13.20.38
Mio,24,31,31,11,2,157.9,10,58,0,8.7,8.7,0,0.52,28/07/2010 13.28.59
Mio,24,32,32,13.2,2,158.2,10,58,1,8.7,8.7,0,0.7,28/07/2010 13.39.48
Mio,24,33,33,18.7,2,158.3,10,57,4,8.7,8.7,0,0.79,28/07/2010 13.45.14
Mio,24,34,34.01,25.6,2,158.2,10,67,0,8.7,8.7,0,0.83,28/07/2010 13.47.55
Mio,24,35,35.01,26.4,2,158.2,10,67,4,8.7,8.7,0,0.87,28/07/2010 13.50.14
Mio,24,36,36.01,25.5,2,158.2,10,67,11,8.7,8.7,0,0.91,28/07/2010 13.52.38
Mio,24,37,36.26,24.9,2,158.2,10,67,32,8.7,8.7,0,0.92,28/07/2010 13.53.14
Mio,24,38,38.01,22.7,2,158.2,10,67,8,8.7,8.7,0,0.96,28/07/2010 13.55.48
Mio,24,39,39.01,21.9,3,158.2,10,67,40,8.7,8.7,0,1.01,28/07/2010 13.58.48
Mio,24,40,40.01,31.4,2,154.9,10,66,339,8.7,8.7,0,1.08,28/07/2010 15.06.39
Mio,24,41,41.01,30.6,3,154,10,71,1025,8.7,8.7,0,1.11,28/07/2010 15.08.42
Mio,24,42,42.02,29.9,3,165.4,10,71,1420,8.7,8.7,0,1.15,28/07/2010 15.10.52
Mio,24,43,43.01,29.6,3,185.7,10,71,1194,8.7,8.7,0,1.18,28/07/2010 15.13.07
Mio,24,44,44,23.3,2,185.8,10,66,113,8.7,8.7,0,1.24,28/07/2010 15.16.46
Mio,24,45,45.01,17.1,3,186,10,49,133,8.7,8.7,0,1.32,28/07/2010 15.21.21
Mio,24,46,46,19.7,4,185.9,10,49,238,8.7,8.7,0,1.37,28/07/2010 15.24.24
Mio,24,47,47.01,21.6,3,185.9,10,50,54,8.7,8.7,0,1.42,28/07/2010 15.27.26
Mio,24,48,48.01,24.5,5,186.1,10,50,938,8.7,8.7,0,1.46,28/07/2010 15.29.58
Mio,24,49,49.01,26.1,3,185.9,10,69,188,8.7,8.7,0,1.51,28/07/2010 15.32.34
Mio,24,50,50.01,26.9,4,186,10,69,369,8.7,8.7,0,1.55,28/07/2010 15.34.55
Mio,24,51,51.01,32.4,6,186,10,69,1249,8.7,8.7,0,1.58,28/07/2010 15.36.56
Mio,24,52,52.01,29,3,186,10,69,1397,8.7,8.7,0,1.62,28/07/2010 15.39.05
Mio,24,53,53.03,26.9,2,185.9,10,69,1444,8.7,8.7,0,1.63,28/07/2010 15.40.07
Mio,24,54,54.03,67.1,2,186,10,69,1567,8.7,8.7,0,1.66,28/07/2010 15.41.38
Mio,24,55,54.51,32,2,186.2,10,70,101,8.7,8.7,0,1.67,28/07/2010 15.42.21
Mio,24,56,56.02,23.2,2,185.7,10,69,1479,8.7,8.7,0,1.7,28/07/2010 15.44.20
Mio,24,57,57.02,19.2,2,186.2,10,69,901,8.7,8.7,0,1.72,28/07/2010 15.45.02
Mio,24,58,58.03,23,2,185.8,10,69,172,8.7,8.7,0,1.73,28/07/2010 15.45.54
Mio,24,59,59.04,25.8,2,187.4,10,61,72,8.7,8.7,0,2.13,28/07/2010 17.57.37
Mio,24,60,60.14,48.1,2,190.2,10,26,0,8.7,8.7,0,2.13,28/07/2010 17.57.51
Mio,24,61,61.19,50,2,190.3,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.57.58
Mio,24,62,62.21,50,2,190.2,10,24,0,8.7,8.7,0,2.14,28/07/2010 17.58.04
Mio,24,63,63.18,50,2,190.2,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.10
Mio,24,64,64.18,50,2,190.3,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.16
Mio,24,65,65.31,50,2,190.2,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.27
Mio,24,66,66.03,50,2,190.3,10,26,0,8.7,8.7,0,2.15,28/07/2010 17.58.39
Mio,24,67,67,30.6,3,190.3,10,72,1252,8.7,8.7,0,2.19,28/07/2010 18.01.31
Mio,24,68,67,16.3,4,190.3,10,73,2763,8.7,8.7,0,2.19,28/07/2010 18.01.31
Mio,24,69,69.01,29,4,190.4,10,69,1722,8.7,8.7,0,2.24,28/07/2010 18.04.04
Mio,24,70,70.02,31.3,3,190.4,10,71,1895,8.7,8.7,0,2.27,28/07/2010 18.06.16
Mio,24,71,71.01,37.4,2,190.4,10,65,2756,8.7,8.7,0,2.31,28/07/2010 18.08.26
Mio,24,72,72.01,30.6,2,190.4,10,71,2416,8.7,8.7,0,2.34,28/07/2010 18.10.26
Mio,24,73,72.76,30.6,2,190.3,10,71,2282,8.7,8.7,0,2.37,28/07/2010 18.11.56
Mio,16,74,74.01,26.7,5,393.3,538,90,3435,8.9,8.9,39,0.69,30/07/2010 06.37.10
Mio,16,75,75.01,22.4,4,393.3,535,91,2974,8.9,8.9,37,0.76,30/07/2010 06.41.02
Mio,16,76,76.01,19.3,4,565.5,537,74,3002,8.9,8.9,37,0.87,30/07/2010 09.38.29
Mio,16,77,77.02,23.3,6,782.2,546,53,4276,8.9,8.9,35,0.91,30/07/2010 09.41.13
Mio,16,78,78.01,15.8,2,781.8,544,59,1118,8.9,8.9,35,0.98,30/07/2010 09.45.31
Mio,16,79,79.02,25.7,2,781.5,541,91,1629,8.9,8.9,35,1.03,30/07/2010 09.48.10
Mio,16,80,80,19.3,2,781.8,546,79,1601,8.9,8.9,35,1.09,30/07/2010 09.51.38
Mio,16,81,81,26.8,2,782.7,549,52,2188,8.9,8.9,35,1.18,30/07/2010 09.57.04
Mio,16,82,82.01,31.6,2,782.6,548,81,72,8.9,8.9,35,1.21,30/07/2010 09.59.05
Mio,16,83,83.01,29.5,3,782.8,550,82,681,8.9,8.9,35,1.25,30/07/2010 10.01.14
Mio,16,84,84.01,20.5,5,772.4,555,59,1735,8.9,8.9,35,1.32,30/07/2010 10.50.18
Mio,16,85,85.02,26.7,4,783.3,588,75,979,8.9,8.9,35,1.37,30/07/2010 10.53.35
Mio,16,86,86.01,30.2,2,783.6,588,76,714,8.9,8.9,35,1.41,30/07/2010 10.55.50
Mio,16,87,87,30.3,4,784,591,76,1520,8.9,8.9,35,1.45,30/07/2010 10.58.07
Mio,16,88,88.01,37.8,2,784.2,591,77,387,8.9,8.9,34,1.48,30/07/2010 10.59.50
Mio,16,89,89.02,43.1,1,784.4,593,69,246,8.9,8.9,34,1.5,30/07/2010 11.01.20
